序号,序列号,时间戳,日期时间,电压(V),电流(A),功率(W),时段增量电量(kWh),数据标签
1,1,1782003600000,2026-06-21 01:00:00,218.12,29.12,6352.20,0.0000,charging
2,2,1782003720000,2026-06-21 01:02:00,219.27,29.10,6381.87,212.2345,charging
3,3,1782003840000,2026-06-21 01:04:00,219.53,29.47,6470.27,214.2024,charging
4,4,1782003960000,2026-06-21 01:06:00,218.18,29.12,6352.57,213.7140,charging
5,5,1782004080000,2026-06-21 01:08:00,221.67,29.95,6639.74,216.5384,charging
6,6,1782004200000,2026-06-21 01:10:00,220.86,29.07,6420.70,217.6740,charging
7,7,1782004320000,2026-06-21 01:12:00,219.98,30.84,6783.84,220.0757,charging
8,8,1782004440000,2026-06-21 01:14:00,218.79,30.75,6726.68,225.1754,charging
9,9,1782004560000,2026-06-21 01:16:00,221.22,29.42,6507.19,220.5645,charging
10,10,1782004680000,2026-06-21 01:18:00,219.38,30.90,6779.56,221.4459,charging
11,11,1782004800000,2026-06-21 01:20:00,218.95,30.34,6642.81,223.7061,charging
12,12,1782004920000,2026-06-21 01:22:00,218.50,30.61,6687.37,222.1695,charging
13,13,1782005040000,2026-06-21 01:24:00,219.44,29.55,6483.48,219.5140,charging
14,14,1782005160000,2026-06-21 01:26:00,220.23,30.47,6710.67,219.9025,charging
15,15,1782005280000,2026-06-21 01:28:00,221.35,29.24,6472.98,219.7276,charging
16,16,1782005400000,2026-06-21 01:30:00,220.66,30.13,6648.06,218.6841,charging
17,17,1782005520000,2026-06-21 01:32:00,221.05,29.60,6542.55,219.8435,charging
18,18,1782005640000,2026-06-21 01:34:00,221.03,30.31,6699.72,220.7044,charging
19,19,1782005760000,2026-06-21 01:36:00,221.59,29.55,6546.98,220.7784,charging
20,20,1782005880000,2026-06-21 01:38:00,221.38,29.80,6596.73,219.0618,charging
21,21,1782006000000,2026-06-21 01:40:00,220.25,30.46,6709.88,221.7769,charging
22,22,1782006120000,2026-06-21 01:42:00,221.72,30.70,6807.17,225.2842,charging
23,23,1782006240000,2026-06-21 01:44:00,219.86,30.13,6623.65,223.8471,charging
24,24,1782006360000,2026-06-21 01:46:00,220.98,29.07,6424.00,217.4609,charging
25,25,1782006480000,2026-06-21 01:48:00,219.50,29.27,6425.09,214.1515,charging
26,26,1782006600000,2026-06-21 01:50:00,218.31,29.82,6510.24,215.5888,charging
27,27,1782006720000,2026-06-21 01:52:00,219.10,29.79,6527.99,217.3037,charging
28,28,1782006840000,2026-06-21 01:54:00,219.45,29.35,6440.93,216.1487,charging
29,29,1782006960000,2026-06-21 01:56:00,218.06,30.93,6745.56,219.7750,charging
30,30,1782007080000,2026-06-21 01:58:00,220.91,30.19,6668.42,223.5664,charging
